comm,pc_cons,pc_cons_winzor,percentpoor,lat,lon,pc_cons_sd,pc_cons_winzor_sd,urban,households
10130002,2.6350474,2.6350474,.14285715,-.26927495,32.309685,1.4270607,1.4270607,0,7
10210001,9.937355,9.5412607,0,.33318767,32.570656,5.0430522,4.3053799,1,4
10210002,3.3302553,3.3302553,.16666667,.31304476,32.569145,1.8341031,1.8341031,1,6
10210003,6.7169628,6.7169628,0,.30309552,32.573345,4.6100807,4.6100807,1,2
10210004,4.2243667,4.2243667,0,.34575298,32.546299,3.0196126,3.0196126,1,5
10210005,5.5106168,5.5106168,0,.37804905,32.594128,2.8164332,2.8164332,1,3
10210006,6.8520317,6.8377857,0,.371429,32.56506,5.4250641,5.3965421,1,5
10210007,9.6390104,9.2425995,0,.36514077,32.597015,6.3067656,5.7361732,1,6
10210008,5.0271249,5.0271249,0,.4425332,32.735664,3.1947353,3.1947353,1,5
10210009,5.3256712,5.3256712,0,.36253446,32.574726,,,1,1
10210010,4.9283075,4.9283075,.25,.34599793,32.583225,4.3452854,4.3452854,1,4
10210011,4.7336588,4.7336588,0,.28204525,32.616669,1.8522654,1.8522654,1,7
10210012,3.4539371,3.4539371,.16666667,.31434315,32.597195,2.50561,2.50561,1,6
10210013,3.7943139,3.7943139,0,.30322111,32.619747,3.7117321,3.7117321,1,7
10210014,3.4685299,3.4685299,0,.2921074,32.573128,2.1489866,2.1489866,1,8
10210015,5.9201584,5.8834538,.16666667,.30577758,32.592979,5.9982996,5.9267621,1,6
10210016,,,,.31016028,32.60178,,,1,0
10210017,5.1721921,4.7784796,0,.27318704,32.624809,5.3852553,4.2534113,1,10
10210018,6.7386894,6.7386894,0,.29515454,32.5854,3.7692578,3.7692578,1,4
10210019,4.3935771,4.3935771,0,.32650661,32.579437,2.7863553,2.7863553,1,5
10210020,5.7841077,5.7841077,0,.34478223,32.587532,4.3932199,4.3932199,1,6
10210021,7.7478275,7.7478275,0,.36772007,32.623959,5.3922315,5.3922315,1,4
10210022,6.6145282,5.9291096,0,.36840436,32.590256,6.3249922,4.6312623,1,7
10210023,2.1647015,2.1647015,.2,.32818478,32.634068,.65870988,.65870988,1,5
10210024,3.2415261,3.2415261,0,.32192761,32.638088,1.5513717,1.5513717,1,2
10210025,3.8605843,3.8605843,0,.35720673,32.760254,1.7974391,1.7974391,1,5
10210026,3.9887218,3.9887218,0,.30594072,32.529144,1.5200801,1.5200801,1,6
10210027,14.888529,8.014245,0,.28985971,32.553036,18.597776,7.0872116,1,3
10210028,4.057796,4.057796,0,.3567673,32.557106,1.0253243,1.0253243,1,5
10210029,7.4670134,7.4670134,0,.33075041,32.542141,5.181046,5.181046,1,5
10210030,8.7631407,8.7631407,0,.28979164,32.535381,,,1,1
10210031,9.2917337,9.2917337,0,.27931949,32.566051,4.0964036,4.0964036,1,2
10210032,5.0882292,5.0882292,0,.33245257,32.54237,2.5460496,2.5460496,1,3
10210033,1.5498463,1.5498463,.5,.31714338,32.537323,.93166029,.93166029,1,2
10210034,2.0369821,2.0369821,.2,.30460998,32.543774,.89488399,.89488399,1,5
10330003,1.5452486,1.5452486,.18181819,.77990788,31.916332,.89658666,.89658666,0,11
10330005,1.7218006,1.7218006,.2,.91897595,31.593861,1.031122,1.031122,0,10
10410002,2.7983539,2.7983539,0,.69644576,32.528904,1.8718019,1.8718019,1,8
10430004,2.6876988,2.6876988,0,.57770365,32.647255,1.227852,1.227852,0,10
10430006,3.2709763,3.2709763,0,.57440132,32.661385,2.3085711,2.3085711,0,16
10430008,2.6078978,2.6078978,.15384616,.76373976,32.522327,1.5086296,1.5086296,0,13
10430011,1.7589917,1.7589917,.125,.66448474,32.330688,.64367002,.64367002,0,8
10430013,1.5931851,1.5931851,.125,.99828738,32.195297,.56331569,.56331569,0,8
10510001,10.860704,10.471936,0,-.34314713,31.725313,5.8192115,5.3145118,1,5
10510003,3.0545416,3.0545416,.25,-.14214757,31.879677,2.4123862,2.4123862,1,4
10530004,1.6669199,1.6669199,.18181819,-.061785579,31.72753,.53848946,.53848946,0,11
10530008,2.0193667,2.0193667,0,-.24315828,31.65519,.96851063,.96851063,0,10
10530012,2.0438123,2.0438123,.1,-.34762707,31.587099,.70395178,.70395178,0,10
10530015,1.8167925,1.8167925,.18181819,-.47120026,31.363787,1.1612835,1.1612835,0,11
10530019,1.7236863,1.7236863,.090909094,-.52238631,31.355343,.71675366,.71675366,0,11
10530023,2.0029774,2.0029774,0,-.57678241,31.691637,.96793008,.96793008,0,8
10530026,1.8615307,1.8615307,.090909094,-.22949769,31.908571,.97273046,.97273046,0,11
10530030,2.2099857,2.2099857,.22222222,-.023710627,31.800507,1.3452774,1.3452774,0,9
10530033,2.1666913,2.1666913,.16666667,-.024847573,31.833431,1.2986335,1.2986335,0,12
10630003,2.3926604,2.3926604,.15384616,.12725924,31.835865,1.7077998,1.7077998,0,13
10630005,1.7906505,1.7906505,.25,.25614196,31.775686,1.1651459,1.1651459,0,12
10630007,2.7382624,2.7382624,.090909094,.071609862,32.092873,1.2652798,1.2652798,0,11
10630009,2.0947349,2.0947349,.125,.19665441,32.25523,1.4710833,1.4710833,0,8
10710001,5.8977017,5.5041933,.11111111,.57272917,31.390442,5.6265998,4.629909,1,9
10710002,3.4286082,3.4286082,0,.39071351,32.073822,2.2066212,2.2066212,1,7
10730004,2.7610438,2.7610438,0,.34126121,32.091141,1.2491744,1.2491744,0,15
10730008,3.6596589,3.6596589,0,.21303451,31.052639,2.0099249,2.0099249,0,5
10730012,2.4183786,2.4183786,0,.55541182,31.395668,1.0342388,1.0342388,0,11
10730016,2.6010301,2.6010301,.16666667,.59494865,31.817333,1.3444965,1.3444965,0,12
10730020,1.9911433,1.9911433,.23076923,.47048303,31.83392,1.5305285,1.5305285,0,13
10730023,2.7430108,2.7430108,.11111111,.58550161,31.729452,1.6821775,1.6821775,0,9
10730027,1.9819356,1.9819356,.22222222,.41124287,32.047512,.89724219,.89724219,0,9
10730031,2.7707186,2.7707186,.14285715,.54994702,32.166386,2.4605262,2.4605262,0,7
10810002,13.922592,3.2272558,.1,.34533206,32.908588,38.12949,4.3400898,1,10
10810003,2.5333867,2.5333867,0,.41141748,33.141369,1.0377399,1.0377399,1,7
10830006,4.2692065,4.2692065,.2857143,.32253256,33.157059,3.7580392,3.7580392,0,7
10830009,1.3151059,1.3151059,.27272728,.36969095,33.187431,.4238781,.4238781,0,11
10830013,1.6018572,1.6018572,.2,.37626344,33.191013,.61380088,.61380088,0,10
10830016,3.0905364,3.0905364,0,.16261066,33.47274,1.39935,1.39935,0,9
10830020,2.1652913,2.1652913,.14285715,.42833737,32.801392,1.0310457,1.0310457,0,14
10830023,8.9345589,7.6779618,0,.40128878,32.667038,8.1054239,5.8424883,0,10
10830027,2.3600454,2.3600454,0,.5842455,32.79068,.72332466,.72332466,0,9
10830030,1.7393486,1.7393486,.33333334,.68482441,32.829208,1.2061907,1.2061907,0,6
10830033,1.8356856,1.8356856,.2,.62513953,32.919586,.82696778,.82696778,0,10
10930004,30.887192,3.5562084,.125,1.5843477,32.154797,112.51382,3.556179,0,16
11010001,5.8843007,5.5874658,0,-.53808939,31.633837,5.0114307,4.2056718,1,11
11030003,2.6057901,2.6057901,.2,-.2873376,31.222494,2.5394511,2.5394511,0,10
11030005,2.9771557,2.9771557,.13333334,-.86061686,31.70356,2.4850693,2.4850693,0,15
11030007,1.2634127,1.2634127,.36363637,-.51763451,31.18162,.44084233,.44084233,0,11
11030009,1.9884633,1.9884633,.15384616,-.3878575,31.521362,1.1195611,1.1195611,0,13
11030012,3.4344263,3.4344263,.14285715,-.39457574,31.751677,2.0984461,2.0984461,0,7
11130001,2.6016393,2.6016393,0,.14536674,31.23106,1.2025571,1.2025571,0,8
11130003,2.6858613,2.6858613,.125,-.29224777,31.478722,1.5887101,1.5887101,0,8
11130005,1.9440114,1.9440114,.18181819,-.15146963,31.434137,1.4742308,1.4742308,0,11
11210001,2.5098166,2.5098166,.125,.72658056,32.918507,1.528358,1.528358,1,8
11230003,2.4738536,2.4738536,.44444445,.8272348,32.844086,2.7581871,2.7581871,0,9
11230006,2.4809735,2.4809735,0,.73291022,32.958759,1.3036512,1.3036512,0,8
11310002,2.9258924,2.9258924,0,.067728207,32.471592,2.272635,2.272635,1,6
11310003,3.8131962,3.8131962,0,.21855424,32.539898,2.239784,2.239784,1,3
11310004,4.3185372,4.3185372,0,.35012743,32.669987,2.2191932,2.2191932,1,8
11310006,6.9711151,6.9711151,0,.37599328,32.535873,5.2668815,5.2668815,1,5
11310007,5.5068774,5.5068774,0,.26184228,32.556755,2.910907,2.910907,1,5
11330008,2.8893247,2.8893247,.16666667,.17125577,32.347549,1.5694436,1.5694436,0,6
11330010,4.0210629,4.0210629,0,.050522737,32.537659,2.1984096,2.1984096,0,7
11330012,11.351954,9.818697,0,.26568061,32.462757,7.6515307,4.2274685,0,9
11330014,3.9650538,3.9650538,0,.16092952,32.552933,3.1807313,3.1807313,0,11
11330016,3.6596215,3.6596215,0,.24275258,32.344612,1.5691086,1.5691086,0,8
11330019,4.2254572,4.2254572,0,.34771341,32.68298,2.981741,2.981741,0,7
11330021,3.6214867,3.6214867,0,.34963498,32.537231,1.7060636,1.7060636,0,8
11330023,5.5816336,5.5816336,0,.25586113,32.604019,3.6341352,3.6341352,0,6
11330025,5.4248495,4.8600435,0,.27445525,32.547256,6.4369845,5.021081,0,7
20130004,1.1668196,1.1668196,.64285713,.43962237,33.779018,.97549605,.97549605,0,14
20130006,1.1155791,1.1155791,.40000001,.31740332,33.883095,.46584332,.46584332,0,10
20130008,1.19323,1.19323,.5,.71221364,33.69397,.58925003,.58925003,0,10
20130009,.62569356,.62569356,1,.10399945,33.783092,.35663697,.35663697,0,2
20210001,2.1071184,2.1071184,.33333334,.46774822,34.091698,1.1977673,1.1977673,1,3
20230005,1.1817502,1.1817502,.625,.49065423,34.09177,.58031178,.58031178,0,8
20230007,1.0427816,1.0446289,.60000002,.38901541,34.057812,.68316323,.68089795,0,10
20310001,2.4665337,2.4665337,0,.61590481,33.470055,.75045216,.75045216,1,4
20310004,5.2058353,4.01439,.1,.62369728,33.474148,7.9413066,4.3038011,1,10
20330008,.96506214,.96506214,.55555558,.55162567,33.618896,.53156513,.53156513,0,9
20330013,1.8962688,1.8962688,.44444445,.88738984,33.510559,1.9566826,1.9566826,0,9
20330018,1.8820047,1.8820047,.1,.59587741,33.417397,.85537338,.85537338,0,10
20330023,1.0422319,1.0422319,.5,.67498285,33.519897,.43383247,.43383247,0,6
20330028,1.4567071,1.4567071,.5,1.0165653,33.32798,1.5285385,1.5285385,0,8
20330033,2.5410619,2.5410619,.25,.77540731,33.347477,3.3249888,3.3249888,0,12
20410002,4.6936469,4.6936469,0,.51237577,32.957378,4.3561144,4.3561144,1,8
20410006,2.3655355,2.3655355,.75,.43243656,33.240677,3.3604374,3.3604374,1,4
20410009,6.150805,5.0469937,.125,.48548794,33.238556,7.9093161,5.1476107,1,8
20430012,1.4885398,1.4885398,.60000002,.61730248,33.346489,1.6176525,1.6176525,0,10
20430014,1.434724,1.434724,.375,.55131948,33.125862,.7854951,.7854951,0,8
20430015,1.6088133,1.6088133,.44444445,.5583055,33.110214,1.8064235,1.8064235,0,9
20510001,2.3645365,2.3645365,.375,.8841908,33.202682,2.1823268,2.1823268,1,8
20530004,1.1904538,1.1904538,.60000002,1.2092326,33.047924,.7636804,.7636804,0,10
20530009,1.0418178,1.0418178,.61538464,1.0930256,33.17445,.65757376,.65757376,0,13
20530013,1.3202012,1.3202012,.38461539,1.0086713,33.007843,.93190789,.93190789,0,13
20530017,493.07385,2.9788351,.33333334,.8982361,33.104977,1474.9717,4.75878,0,9
